Precipitation (mm),"	Year", Month, Country,,
17.1023,2000,1,GHA,,
5.86427,2000,2,GHA,,
67.8123,2000,3,GHA,,
120.117,2000,4,GHA,,
135.079,2000,5,GHA,,
165.357,2000,6,GHA,,
135.225,2000,7,GHA,,
133.502,2000,8,GHA,,
144.365,2000,9,GHA,,
67.5273,2000,10,GHA,,
17.3673,2000,11,GHA,,
5.71254,2000,12,GHA,,
6.88493,2001,1,GHA,,
9.96433,2001,2,GHA,,
41.0065,2001,3,GHA,,
175.473,2001,4,GHA,,
140.147,2001,5,GHA,,
161.181,2001,6,GHA,,
94.1264,2001,7,GHA,,
117.27,2001,8,GHA,,
202.649,2001,9,GHA,,
68.8994,2001,10,GHA,,
26.4192,2001,11,GHA,,
6.86944,2001,12,GHA,,
6.52088,2002,1,GHA,,
10.6587,2002,2,GHA,,
56.5685,2002,3,GHA,,
143.554,2002,4,GHA,,
147.231,2002,5,GHA,,
175.929,2002,6,GHA,,
214.921,2002,7,GHA,,
154.396,2002,8,GHA,,
114.554,2002,9,GHA,,
176.11,2002,10,GHA,,
26.304,2002,11,GHA,,
3.10914,2002,12,GHA,,
12.7997,2003,1,GHA,,
31.5967,2003,2,GHA,,
56.3033,2003,3,GHA,,
122.203,2003,4,GHA,,
154.207,2003,5,GHA,,
196.991,2003,6,GHA,,
115.557,2003,7,GHA,,
148.391,2003,8,GHA,,
156.981,2003,9,GHA,,
137.59,2003,10,GHA,,
59.4215,2003,11,GHA,,
11.8563,2003,12,GHA,,
26.9898,2004,1,GHA,,
28.6895,2004,2,GHA,,
58.0469,2004,3,GHA,,
95.4932,2004,4,GHA,,
111.363,2004,5,GHA,,
100.767,2004,6,GHA,,
174.345,2004,7,GHA,,
146.826,2004,8,GHA,,
182.859,2004,9,GHA,,
139.164,2004,10,GHA,,
42.9144,2004,11,GHA,,
16.3479,2004,12,GHA,,
3.66069,2005,1,GHA,,
31.4365,2005,2,GHA,,
88.977,2005,3,GHA,,
109.772,2005,4,GHA,,
165.609,2005,5,GHA,,
134.042,2005,6,GHA,,
146.012,2005,7,GHA,,
78.5594,2005,8,GHA,,
161.329,2005,9,GHA,,
139.13,2005,10,GHA,,
36.1525,2005,11,GHA,,
15.4074,2005,12,GHA,,
4.47507,2006,1,GHA,,
28.7611,2006,2,GHA,,
66.1608,2006,3,GHA,,
68.934,2006,4,GHA,,
191.19,2006,5,GHA,,
152.248,2006,6,GHA,,
109.179,2006,7,GHA,,
116.155,2006,8,GHA,,
176.83,2006,9,GHA,,
160.519,2006,10,GHA,,
14.8773,2006,11,GHA,,
7.08592,2006,12,GHA,,
0.35957,2007,1,GHA,,
21.2439,2007,2,GHA,,
45.5717,2007,3,GHA,,
167.425,2007,4,GHA,,
138.189,2007,5,GHA,,
129.464,2007,6,GHA,,
162.292,2007,7,GHA,,
185.854,2007,8,GHA,,
229.229,2007,9,GHA,,
151.095,2007,10,GHA,,
45.6453,2007,11,GHA,,
11.4672,2007,12,GHA,,
3.27101,2008,1,GHA,,
16.767,2008,2,GHA,,
109.091,2008,3,GHA,,
103.669,2008,4,GHA,,
148.023,2008,5,GHA,,
195.671,2008,6,GHA,,
185.325,2008,7,GHA,,
222.738,2008,8,GHA,,
159.39,2008,9,GHA,,
113.026,2008,10,GHA,,
37.574,2008,11,GHA,,
23.9676,2008,12,GHA,,
1.18577,2009,1,GHA,,
36.1954,2009,2,GHA,,
87.2344,2009,3,GHA,,
121.07,2009,4,GHA,,
138.576,2009,5,GHA,,
173.515,2009,6,GHA,,
211.851,2009,7,GHA,,
139.16,2009,8,GHA,,
139.662,2009,9,GHA,,
123.674,2009,10,GHA,,
24.0059,2009,11,GHA,,
17.1698,2009,12,GHA,,
10.5499,2010,1,GHA,,
36.4359,2010,2,GHA,,
42.4418,2010,3,GHA,,
112.666,2010,4,GHA,,
95.1894,2010,5,GHA,,
175.551,2010,6,GHA,,
119.986,2010,7,GHA,,
190.23,2010,8,GHA,,
207.692,2010,9,GHA,,
184.416,2010,10,GHA,,
48.1702,2010,11,GHA,,
17.5204,2010,12,GHA,,
10.6693,2011,1,GHA,,
39.493,2011,2,GHA,,
50.5518,2011,3,GHA,,
81.0653,2011,4,GHA,,
105.382,2011,5,GHA,,
153.257,2011,6,GHA,,
199.509,2011,7,GHA,,
123.616,2011,8,GHA,,
171.148,2011,9,GHA,,
197.117,2011,10,GHA,,
18.0561,2011,11,GHA,,
3.22211,2011,12,GHA,,
19.9203,2012,1,GHA,,
41.5893,2012,2,GHA,,
30.7652,2012,3,GHA,,
122.26,2012,4,GHA,,
145.173,2012,5,GHA,,
186.461,2012,6,GHA,,
138.021,2012,7,GHA,,
133.594,2012,8,GHA,,
158.077,2012,9,GHA,,
115.526,2012,10,GHA,,
54.0909,2012,11,GHA,,
47.6395,2012,12,GHA,,
13.4462,2013,1,GHA,,
9.83384,2013,2,GHA,,
64.0091,2013,3,GHA,,
117.541,2013,4,GHA,,
159.276,2013,5,GHA,,
112.162,2013,6,GHA,,
105.292,2013,7,GHA,,
101.772,2013,8,GHA,,
149.714,2013,9,GHA,,
139.437,2013,10,GHA,,
83.089,2013,11,GHA,,
15.8005,2013,12,GHA,,
19.608,2014,1,GHA,,
36.1026,2014,2,GHA,,
93.2963,2014,3,GHA,,
88.6948,2014,4,GHA,,
130.698,2014,5,GHA,,
162.267,2014,6,GHA,,
137.964,2014,7,GHA,,
108.834,2014,8,GHA,,
204.745,2014,9,GHA,,
97.6808,2014,10,GHA,,
63.1924,2014,11,GHA,,
7.34314,2014,12,GHA,,
2.73948,2015,1,GHA,,
68.4576,2015,2,GHA,,
92.7384,2015,3,GHA,,
54.0479,2015,4,GHA,,
94.1808,2015,5,GHA,,
129.123,2015,6,GHA,,
88.4531,2015,7,GHA,,
162.768,2015,8,GHA,,
136.675,2015,9,GHA,,
152.394,2015,10,GHA,,
39.8459,2015,11,GHA,,
0.73514,2015,12,GHA,,
